sura,ayat,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2,22,0.004901961,0.004901961,0.004901961,0.004901961,0.004901961,0.3480392,0.05392157,0.004901961,0.004901961,0.2009804,0.05392157,0.05392157,0.004901961,0.25
2,23,0.007462687,0.08208956,0.08208956,0.007462687,0.007462687,0.007462687,0.23134328,0.007462687,0.007462687,0.007462687,0.007462687,0.007462687,0.23134328,0.30597016
2,24,0.008064517,0.008064517,0.008064517,0.008064517,0.16935484,0.008064517,0.008064517,0.008064517,0.008064517,0.4919355,0.008064517,0.16935484,0.08870968,0.008064517
2,25,0.098726116,0.0031847134,0.0031847134,0.0031847134,0.098726116,0.0031847134,0.035031848,0.06687898,0.0031847134,0.38535035,0.22611465,0.0031847134,0.0031847134,0.06687898
2,26,0.05392157,0.05392157,0.004901961,0.2009804,0.15196078,0.004901961,0.004901961,0.004901961,0.004901961,0.004901961,0.10294117,0.05392157,0.25,0.10294117
2,27,0.00877193,0.09649123,0.00877193,0.09649123,0.27192983,0.09649123,0.09649123,0.00877193,0.00877193,0.00877193,0.00877193,0.09649123,0.00877193,0.18421052
2,28,0.0106382985,0.0106382985,0.0106382985,0.43617022,0.0106382985,0.117021285,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.117021285,0.22340426
2,29,0.006493507,0.006493507,0.006493507,0.071428575,0.006493507,0.52597404,0.006493507,0.006493507,0.006493507,0.006493507,0.006493507,0.006493507,0.2012987,0.13636364
2,30,0.0051546395,0.0051546395,0.0051546395,0.056701034,0.0051546395,0.2113402,0.2113402,0.0051546395,0.056701034,0.056701034,0.0051546395,0.0051546395,0.2113402,0.15979381
2,31,0.008064517,0.16935484,0.008064517,0.008064517,0.008064517,0.008064517,0.57258064,0.08870968,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.08870968
2,32,0.008064517,0.08870968,0.08870968,0.008064517,0.008064517,0.57258064,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.08870968,0.08870968
2,33,0.004464286,0.004464286,0.09375,0.004464286,0.004464286,0.27232143,0.27232143,0.004464286,0.004464286,0.004464286,0.09375,0.049107146,0.09375,0.09375
2,34,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.008064517,0.25,0.008064517,0.16935484,0.33064517,0.008064517,0.008064517,0.08870968,0.08870968
2,35,0.005747127,0.005747127,0.005747127,0.12068965,0.06321839,0.005747127,0.06321839,0.005747127,0.005747127,0.23563218,0.06321839,0.12068965,0.06321839,0.23563218
2,36,0.004901961,0.05392157,0.05392157,0.2009804,0.05392157,0.05392157,0.10294117,0.004901961,0.004901961,0.2009804,0.004901961,0.10294117,0.05392157,0.10294117
2,37,0.006944445,0.006944445,0.006944445,0.006944445,0.006944445,0.6319445,0.14583333,0.006944445,0.006944445,0.006944445,0.006944445,0.006944445,0.076388896,0.076388896
2,38,0.0054347827,0.11413043,0.0054347827,0.0054347827,0.2228261,0.0054347827,0.059782613,0.059782613,0.0054347827,0.059782613,0.16847827,0.0054347827,0.11413043,0.16847827
2,39,0.43617022,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.43617022,0.0106382985,0.0106382985,0.0106382985,0.0106382985
2,40,0.067073174,0.25,0.006097561,0.006097561,0.067073174,0.006097561,0.006097561,0.006097561,0.006097561,0.006097561,0.25,0.006097561,0.25,0.067073174
2,41,0.12804878,0.067073174,0.006097561,0.006097561,0.25,0.006097561,0.067073174,0.006097561,0.006097561,0.067073174,0.067073174,0.12804878,0.067073174,0.12804878
2,42,0.011904763,0.3690476,0.011904763,0.011904763,0.011904763,0.011904763,0.13095239,0.011904763,0.011904763,0.011904763,0.011904763,0.13095239,0.13095239,0.13095239
2,43,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.25,0.011904763,0.48809525,0.13095239,0.011904763
2,44,0.08870968,0.008064517,0.008064517,0.16935484,0.008064517,0.008064517,0.16935484,0.008064517,0.16935484,0.008064517,0.008064517,0.16935484,0.008064517,0.16935484
